select_item,uid,uid_valid,age,age_valid,workclass,education,occupation,relationship,race,sex,nation,income,math_used,always_truth,label
count(*),"[10,20]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[20,30]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[30,40]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[40,50]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[50,60]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[60,70]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[70,80]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[80,90]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[90,100]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[100,110]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[110,120]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[120,130]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[140,150]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[150,160]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[160,170]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[170,180]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[180,190]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count(*),"[190,200]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='true',always_truth='true',malicious
count,"[10,20]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[20,30]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[30,40]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[40,50]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[50,60]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[60,70]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[70,80]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[80,90]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[90,100]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[100,110]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[110,120]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[120,130]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
